field	cf1a.spe
 335.280	 16720
 335.281	 16720
 335.282	 16720
 335.284	 16720
 335.285	 16710
 335.286	 16680
 335.287	 16680
 335.288	 16720
 335.289	 16735
 335.291	 16710
 335.292	 16720
 335.293	 16710
 335.294	 16710
 335.295	 16720
 335.296	 16750
 335.298	 16720
 335.299	 16720
 335.300	 16720
 335.301	 16720
 335.302	 16695
 335.303	 16710
 335.305	 16720
 335.306	 16710
 335.307	 16710
 335.308	 16720
 335.309	 16735
 335.310	 16735
 335.312	 16735
 335.313	 16760
 335.314	 16750
 335.315	 16735
 335.316	 16760
 335.318	 16775
 335.319	 16760
 335.320	 16760
 335.321	 16750
 335.322	 16760
 335.323	 16775
 335.325	 16775
 335.326	 16750
 335.327	 16750
 335.328	 16790
 335.329	 16790
 335.330	 16760
 335.332	 16760
 335.333	 16760
 335.334	 16775
 335.335	 16775
 335.336	 16790
 335.337	 16790
 335.339	 16800
 335.340	 16775
 335.341	 16790
 335.342	 16790
 335.343	 16790
 335.344	 16800
 335.346	 16815
 335.347	 16800
 335.348	 16775
 335.349	 16800
 335.350	 16775
 335.352	 16800
 335.353	 16800
 335.354	 16815
 335.355	 16815
 335.356	 16800
 335.357	 16800
 335.359	 16800
 335.360	 16830
 335.361	 16830
 335.362	 16830
 335.363	 16815
 335.364	 16840
 335.366	 16815
 335.367	 16855
 335.368	 16840
 335.369	 16855
 335.370	 16840
 335.371	 16855
 335.373	 16870
 335.374	 16855
 335.375	 16830
 335.376	 16840
 335.377	 16855
 335.378	 16855
 335.380	 16870
 335.381	 16880
 335.382	 16855
 335.383	 16855
 335.384	 16840
 335.385	 16855
 335.387	 16870
 335.388	 16855
 335.389	 16840
 335.390	 16840
 335.391	 16870
 335.393	 16895
 335.394	 16895
 335.395	 16895
 335.396	 16895
 335.397	 16895
 335.398	 16910
 335.400	 16910
 335.401	 16910
 335.402	 16895
 335.403	 16910
 335.404	 16935
 335.405	 16950
 335.407	 16950
 335.408	 16950
 335.409	 16935
 335.410	 16960
 335.411	 16950
 335.412	 16935
 335.414	 16935
 335.415	 16950
 335.416	 16950
 335.417	 16935
 335.418	 16950
 335.419	 16950
 335.421	 16950
 335.422	 16950
 335.423	 16960
 335.424	 16975
 335.425	 16975
 335.427	 16990
 335.428	 17000
 335.429	 17015
 335.430	 17015
 335.431	 17030
 335.432	 16990
 335.434	 17015
 335.435	 17000
 335.436	 17015
 335.437	 17015
 335.438	 17055
 335.439	 17040
 335.441	 17030
 335.442	 17055
 335.443	 17040
 335.444	 17030
 335.445	 17055
 335.446	 17015
 335.448	 17015
 335.449	 17040
 335.450	 17055
 335.451	 17015
 335.452	 17040
 335.453	 17070
 335.455	 17095
 335.456	 17080
 335.457	 17095
 335.458	 17080
 335.459	 17095
 335.461	 17095
 335.462	 17095
 335.463	 17120
 335.464	 17110
 335.465	 17095
 335.466	 17095
 335.468	 17120
 335.469	 17150
 335.470	 17150
 335.471	 17120
 335.472	 17135
 335.473	 17160
 335.475	 17150
 335.476	 17135
 335.477	 17135
 335.478	 17150
 335.479	 17135
 335.480	 17150
 335.482	 17175
 335.483	 17200
 335.484	 17215
 335.485	 17240
 335.486	 17230
 335.487	 17215
 335.489	 17230
 335.490	 17240
 335.491	 17240
 335.492	 17230
 335.493	 17240
 335.495	 17240
 335.496	 17255
 335.497	 17255
 335.498	 17255
 335.499	 17270
 335.500	 17255
 335.502	 17280
 335.503	 17270
 335.504	 17270
 335.505	 17280
 335.506	 17310
